2019-04-15 18:43:22,269 INFO main - command line arguments: [-jvm4testexecution  /usr/lib/jvm/java-1.8.0-openjdk-amd64/bin  -mode  jmutrepair  -scope  package  -srcjavafolder  /src/java/  -srctestfolder  /src/test/  -binjavafolder  /target/classes/  -bintestfolder  /target/test-classes/  -location  /home/jan_gerling/astor/defect4j_tests/math_51/  -dependencies  ./examples/libs/junit-4.4.jar  -flthreshold  0.5  -maxtime  100  -stopfirst  true]
2019-04-15 18:43:23,129 INFO main - -Executing Gzoltar classpath: /home/jan_gerling/astor/./outputMutation/AstorMain-math_51//bin//default from 285 classes with test cases
2019-04-15 18:43:23,130 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar fault localization: min susp value parameter: 0.5
2019-04-15 18:43:23,804 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - -gz-Adding classpath: [/home/jan_gerling/astor/./outputMutation/AstorMain-math_51//bin//default, /home/jan_gerling/astor/./examples/libs/junit-4.4.jar]
2019-04-15 18:45:40,515 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest#testIssue631
2019-04-15 18:45:40,519 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.util.FastMathTest#checkMissingFastMathClasses
2019-04-15 18:45:40,528 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar Test Result Total:2941, fails: 2, GZoltar suspicious 24199
2019-04-15 18:45:40,543 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar found: 2 with susp > 0.5, we consider: 2
2019-04-15 18:45:40,552 INFO main - building model: /home/jan_gerling/astor/./outputMutation/AstorMain-math_51//src//default, compliance level: 8
2019-04-15 18:45:51,167 INFO main - 
---- Initial suspicious size: 0
2019-04-15 18:45:51,202 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file MathException.java
2019-04-15 18:45:51,206 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 142, file MathRuntimeException.java
2019-04-15 18:45:51,224 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 54, file Gaussian.java
2019-04-15 18:45:51,224 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 95, file Gaussian.java
2019-04-15 18:45:51,224 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 175, file Gaussian.java
2019-04-15 18:45:51,224 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 178, file Gaussian.java
2019-04-15 18:45:51,224 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 181, file Gaussian.java
2019-04-15 18:45:51,226 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 136, file HarmonicOscillator.java
2019-04-15 18:45:51,226 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 139, file HarmonicOscillator.java
2019-04-15 18:45:51,230 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 68, file Logistic.java
2019-04-15 18:45:51,230 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 91, file Logistic.java
2019-04-15 18:45:51,230 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 179, file Logistic.java
2019-04-15 18:45:51,230 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 182, file Logistic.java
2019-04-15 18:45:51,230 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 185, file Logistic.java
2019-04-15 18:45:51,231 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 134, file Logit.java
2019-04-15 18:45:51,231 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file Logit.java
2019-04-15 18:45:51,232 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 152, file Logit.java
2019-04-15 18:45:51,236 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 69, file Sigmoid.java
2019-04-15 18:45:51,236 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 140, file Sigmoid.java
2019-04-15 18:45:51,236 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 143, file Sigmoid.java
2019-04-15 18:45:51,240 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 53, file StepFunction.java
2019-04-15 18:45:51,240 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 57, file StepFunction.java
2019-04-15 18:45:51,240 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 61, file StepFunction.java
2019-04-15 18:45:51,240 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 78, file StepFunction.java
2019-04-15 18:45:51,241 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 75, file StepFunction.java
