2019-04-16 07:25:51,159 INFO main - command line arguments: [-jvm4testexecution  /usr/lib/jvm/java-1.8.0-openjdk-amd64/bin  -mode  jmutrepair  -scope  package  -srcjavafolder  /src/java/  -srctestfolder  /src/test/  -binjavafolder  /target/classes/  -bintestfolder  /target/test-classes/  -location  /home/jan_gerling/astor/defect4j_tests/math_58/  -dependencies  ./examples/libs/junit-4.4.jar  -flthreshold  0.5  -maxtime  100  -stopfirst  true]
2019-04-16 07:25:54,127 INFO main - -Executing Gzoltar classpath: /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//bin//default from 259 classes with test cases
2019-04-16 07:25:54,138 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar fault localization: min susp value parameter: 0.5
2019-04-16 07:25:56,440 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - -gz-Adding classpath: [/home/jan_gerling/astor/./examples/libs/junit-4.4.jar, /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//bin//default]
2019-04-16 07:30:13,797 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.util.FastMathTest#checkMissingFastMathClasses
2019-04-16 07:30:13,800 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.optimization.fitting.GaussianFitterTest#testMath519
2019-04-16 07:30:13,805 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar Test Result Total:2354, fails: 2, GZoltar suspicious 19964
2019-04-16 07:30:13,835 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar found: 2 with susp > 0.5, we consider: 2
2019-04-16 07:30:13,877 INFO main - building model: /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//src//default, compliance level: 8
2019-04-16 07:30:35,243 INFO main - 
---- Initial suspicious size: 0
2019-04-16 07:30:35,401 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 168, file MathException.java
2019-04-16 07:30:35,418 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 172, file MathRuntimeException.java
2019-04-16 07:30:35,498 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 54, file Gaussian.java
2019-04-16 07:30:35,499 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 95, file Gaussian.java
2019-04-16 07:30:35,499 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 176, file Gaussian.java
2019-04-16 07:30:35,505 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 179, file Gaussian.java
2019-04-16 07:30:35,505 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 182, file Gaussian.java
2019-04-16 07:30:35,507 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file HarmonicOscillator.java
2019-04-16 07:30:35,507 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 140, file HarmonicOscillator.java
2019-04-16 07:30:35,534 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 64, file Logistic.java
2019-04-16 07:30:35,547 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 53, file StepFunction.java
2019-04-16 07:30:35,547 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 57, file StepFunction.java
2019-04-16 07:30:35,547 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 61, file StepFunction.java
2019-04-16 07:30:35,555 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 78, file StepFunction.java
2019-04-16 07:30:35,556 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 75, file StepFunction.java
2019-04-16 07:30:35,562 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 114, file ConvergingAlgorithmImpl.java
2019-04-16 07:30:35,584 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 186, file LegendreGaussIntegrator.java
