2019-04-17 06:28:20,519 INFO main - command line arguments: [-jvm4testexecution  /usr/lib/jvm/java-1.8.0-openjdk-amd64/bin  -mode  jmutrepair  -scope  global  -srcjavafolder  /src/java/  -srctestfolder  /src/test/  -binjavafolder  /target/classes/  -bintestfolder  /target/test-classes/  -location  /home/jan_gerling/astor/defect4j_tests/math_51/  -dependencies  ./examples/libs/junit-4.4.jar  -flthreshold  0.5  -maxtime  100  -stopfirst  true]
2019-04-17 06:28:21,330 INFO main - -Executing Gzoltar classpath: /home/jan_gerling/astor/./outputMutation/AstorMain-math_51//bin//default from 285 classes with test cases
2019-04-17 06:28:21,331 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar fault localization: min susp value parameter: 0.5
2019-04-17 06:28:22,000 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - -gz-Adding classpath: [/home/jan_gerling/astor/./outputMutation/AstorMain-math_51//bin//default, /home/jan_gerling/astor/./examples/libs/junit-4.4.jar]
2019-04-17 06:30:35,398 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest#testIssue631
2019-04-17 06:30:35,402 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.util.FastMathTest#checkMissingFastMathClasses
2019-04-17 06:30:35,409 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar Test Result Total:2941, fails: 2, GZoltar suspicious 24199
2019-04-17 06:30:35,421 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar found: 2 with susp > 0.5, we consider: 2
2019-04-17 06:30:35,430 INFO main - building model: /home/jan_gerling/astor/./outputMutation/AstorMain-math_51//src//default, compliance level: 8
2019-04-17 06:30:44,753 INFO main - 
---- Initial suspicious size: 0
2019-04-17 06:30:44,783 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file MathException.java
2019-04-17 06:30:44,786 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 142, file MathRuntimeException.java
2019-04-17 06:30:44,801 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 54, file Gaussian.java
2019-04-17 06:30:44,801 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 95, file Gaussian.java
2019-04-17 06:30:44,801 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 175, file Gaussian.java
2019-04-17 06:30:44,801 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 178, file Gaussian.java
2019-04-17 06:30:44,801 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 181, file Gaussian.java
2019-04-17 06:30:44,802 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 136, file HarmonicOscillator.java
2019-04-17 06:30:44,803 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 139, file HarmonicOscillator.java
2019-04-17 06:30:44,806 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 68, file Logistic.java
2019-04-17 06:30:44,806 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 91, file Logistic.java
2019-04-17 06:30:44,806 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 179, file Logistic.java
2019-04-17 06:30:44,806 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 182, file Logistic.java
2019-04-17 06:30:44,806 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 185, file Logistic.java
2019-04-17 06:30:44,807 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 134, file Logit.java
2019-04-17 06:30:44,807 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file Logit.java
2019-04-17 06:30:44,808 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 152, file Logit.java
