2019-04-16 09:15:44,080 INFO main - command line arguments: [-jvm4testexecution  /usr/lib/jvm/java-1.8.0-openjdk-amd64/bin  -mode  jkali  -scope  package  -srcjavafolder  /src/java/  -srctestfolder  /src/test/  -binjavafolder  /target/classes/  -bintestfolder  /target/test-classes/  -location  /home/jan_gerling/astor/defect4j_tests/math_58/  -dependencies  ./examples/libs/junit-4.4.jar  -flthreshold  0.5  -maxtime  100  -stopfirst  true]
2019-04-16 09:15:55,643 INFO main - -Executing Gzoltar classpath: /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//bin//default from 259 classes with test cases
2019-04-16 09:15:55,646 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar fault localization: min susp value parameter: 0.5
2019-04-16 09:15:57,607 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - -gz-Adding classpath: [/home/jan_gerling/astor/./examples/libs/junit-4.4.jar, /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//bin//default]
2019-04-16 09:20:20,327 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.util.FastMathTest#checkMissingFastMathClasses
2019-04-16 09:20:20,334 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.optimization.fitting.GaussianFitterTest#testMath519
2019-04-16 09:20:20,339 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar Test Result Total:2354, fails: 2, GZoltar suspicious 19965
2019-04-16 09:20:20,389 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar found: 2 with susp > 0.5, we consider: 2
2019-04-16 09:20:20,415 INFO main - building model: /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//src//default, compliance level: 8
2019-04-16 09:20:42,574 INFO main - 
---- Initial suspicious size: 0
2019-04-16 09:20:42,678 INFO main - --ModificationPoint:CtInvocationImpl, suspValue 0.0, line 51, file ConvergenceException.java
2019-04-16 09:20:42,679 INFO main - --ModificationPoint:CtInvocationImpl, suspValue 0.0, line 84, file ConvergenceException.java
2019-04-16 09:20:42,681 INFO main - --ModificationPoint:CtInvocationImpl, suspValue 0.0, line 48, file MathConfigurationException.java
2019-04-16 09:20:42,682 INFO main - --ModificationPoint:CtInvocationImpl, suspValue 0.0, line 79, file MathConfigurationException.java
2019-04-16 09:20:42,711 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 59, file MathException.java
2019-04-16 09:20:42,712 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 60, file MathException.java
2019-04-16 09:20:42,729 INFO main - --ModificationPoint:CtInvocationImpl, suspValue 0.0, line 73, file MathException.java
2019-04-16 09:20:42,730 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 85, file MathException.java
2019-04-16 09:20:42,731 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 86, file MathException.java
2019-04-16 09:20:42,732 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 99, file MathException.java
2019-04-16 09:20:42,733 INFO main - --ModificationPoint:CtInvocationImpl, suspValue 0.0, line 115, file MathException.java
2019-04-16 09:20:42,733 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 130, file MathException.java
2019-04-16 09:20:42,734 INFO main - --ModificationPoint:CtAssignmentImpl, suspValue 0.0, line 131, file MathException.java
2019-04-16 09:20:42,747 INFO main - --ModificationPoint:CtReturnImpl, suspValue 0.0, line 142, file MathException.java
2019-04-16 09:20:42,750 INFO main - --ModificationPoint:CtReturnImpl, suspValue 0.0, line 147, file MathException.java
2019-04-16 09:20:42,751 INFO main - --ModificationPoint:CtReturnImpl, suspValue 0.0, line 152, file MathException.java
2019-04-16 09:20:42,752 INFO main - --ModificationPoint:CtReturnImpl, suspValue 0.0, line 157, file MathException.java
